시간,SMP(원/kWh),수전단가(원/kWh),BEP_1기($/MMBtu),가동판단_1기,경제성(억)_1기,BEP_2기저부하($/MMBtu),가동판단_2기저부하,경제성(억)_2기저부하,BEP_2기($/MMBtu),가동판단_2기,경제성(억)_2기,최적모드,기력BEP_사용단가($/MMBtu),기력BEP_Spot($/MMBtu),기력발전_사용단가_가동가능,기력발전_Spot_가동가능
00:00,126.48,142.86,13.99,O,0.085,13.858,O,0.082,12.582,O,0.045,2기,,,-,-
01:00,125.16,142.86,13.987,O,0.085,13.858,O,0.082,12.45,O,0.041,2기,,,-,-
02:00,120.49,142.86,13.975,O,0.085,13.858,O,0.082,11.986,O,0.028,2기,,,-,-
03:00,114.88,142.86,13.961,O,0.084,13.858,O,0.082,11.428,O,0.012,2기,,,-,-
04:00,114.88,142.86,13.961,O,0.084,13.858,O,0.082,11.428,O,0.012,2기,,,-,-
05:00,124.65,142.86,14.074,O,0.087,13.858,O,0.082,12.4,O,0.039,2기,,,-,-
06:00,125.9,142.86,13.815,O,0.081,13.858,O,0.082,12.524,O,0.043,2기,,,-,-
07:00,126.23,142.86,13.99,O,0.085,13.858,O,0.082,12.557,O,0.044,2기,,,-,-
08:00,124.96,161.14,15.735,O,0.135,15.631,O,0.134,12.431,O,0.04,2기,,,-,-
09:00,114.49,161.14,15.708,O,0.134,15.631,O,0.134,11.389,O,0.011,2기,,,-,-
10:00,113.98,161.14,15.707,O,0.134,15.631,O,0.134,11.338,O,0.01,2기,,,-,-
11:00,109.14,161.14,15.695,O,0.134,15.631,O,0.134,10.857,X,-0.004,2기저부하,,,-,-
12:00,108.98,161.14,15.694,O,0.134,15.631,O,0.134,10.841,X,-0.004,2기저부하,,,-,-
13:00,108.9,161.14,15.694,O,0.134,15.631,O,0.134,10.833,X,-0.005,2기저부하,,,-,-
14:00,108.82,161.14,15.694,O,0.134,15.631,O,0.134,10.825,X,-0.005,2기저부하,,,-,-
15:00,123.32,178.8,17.42,O,0.183,17.344,O,0.183,12.267,O,0.036,2기,,,-,-
16:00,110.65,178.8,17.388,O,0.182,17.344,O,0.183,11.007,O,0.0,2기,,,-,-
17:00,117.2,178.8,17.405,O,0.183,17.344,O,0.183,11.659,O,0.019,2기,,,-,-
18:00,135.0,178.8,17.45,O,0.184,17.344,O,0.183,13.429,O,0.068,2기,,,-,-
19:00,134.67,178.8,17.45,O,0.184,17.344,O,0.183,13.396,O,0.067,2기,,,-,-
20:00,126.75,178.8,17.429,O,0.183,17.344,O,0.183,12.608,O,0.045,2기,,,-,-
21:00,126.41,161.14,15.739,O,0.135,15.631,O,0.134,12.575,O,0.044,2기,,,-,-
22:00,126.34,142.86,13.903,O,0.083,13.858,O,0.082,12.568,O,0.044,2기,,,-,-
23:00,125.21,142.86,13.987,O,0.085,13.858,O,0.082,12.455,O,0.041,2기,,,-,-
