,다변량시 쓰일 변수들,,,,LNG발전,575000,계산식 상수,계산식 상수,계산식 상수,,단변량 시계열 예측-ML/시계열 단순,단변량 시계열 예측-ML/시계열 단순,,,,LNG발전 2기 저부하에 대한 효율 학습 필요,,,,83.6,2기가동시,,,
,,,,,,287500,한달 고정변수1,한달 고정변수2,한달 고정변수3,,,,,,,,,,,41.8,1기가동시,,,
,,,,,,,,,9.107,1.712,,,,,y,,"가동가능여부(+면 가동가능, -면 가동불가능)",,,경제성(억원),,,,한달 고정변수
구분,smp(원/kWh),LNG발전량(kW),역송량(kW),수전량(kW),순부하(kW),,수전단가(원/kWh),LNG가격($/MMBtu),LNG열량(Mcal/N㎥),LNG발전 효율(Mcal/kWh),"LNG발전 1기
대체단가(원/kWh)","LNG발전 2기
대체단가(원/kWh)","LNG발전 2기 저부하
대체단가(원/kwh)","LNG발전 1기
BEP($/MMBtu)","LNG발전 2기
BEP($/MMBtu)","LNG발전 2기 저부하
BEP($/MMBtu)",LNG발전 1기,LNG발전 2기,LNG발전 2기 저부하,LNG발전 1기,LNG발전 2기,LNG발전 2기 저부하,,환율(원/$)
2025-01-01 0:00,81.99, - , - ,"380,910","380,910",,149.9,14.8,9.1, - ,150,104,150,#DIV/0!,#DIV/0!,12.7,#DIV/0!,#DIV/0!,-2.1,#DIV/0!,#DIV/0!,-0.1,,"1,477"
2025-01-01 1:00,78.61, - , - ,"366,560","366,560",,149.9,14.8,9.2, - ,150,98,150,#DIV/0!,#DIV/0!,12.8,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,-0.1,,"1,473"
2025-01-01 2:00,78.61, - , - ,"363,600","363,600",,149.9,14.8,9.2, - ,150,97,150,#DIV/0!,#DIV/0!,12.8,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,-0.1,,"1,475"
2025-01-01 3:00,78.61, - , - ,"363,970","363,970",,149.9,14.8,9.1, - ,150,98,150,#DIV/0!,#DIV/0!,12.8,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,-0.1,,"1,475"
2025-01-01 4:00,78.61, - , - ,"351,210","351,210",,149.9,14.8,9.2, - ,150,94,150,#DIV/0!,#DIV/0!,12.9,#DIV/0!,#DIV/0!,-1.9,#DIV/0!,#DIV/0!,-0.1,,"1,478"
2025-01-01 5:00,78.61, - , - ,"384,990","384,990",,149.9,14.8,9.1, - ,150,103,150,#DIV/0!,#DIV/0!,12.7,#DIV/0!,#DIV/0!,-2.1,#DIV/0!,#DIV/0!,-0.1,,"1,477"
2025-01-01 6:00,79.74, - , - ,"368,840","368,840",,149.9,14.8,9.1, - ,150,100,150,#DIV/0!,#DIV/0!,12.7,#DIV/0!,#DIV/0!,-2.1,#DIV/0!,#DIV/0!,-0.1,,"1,479"
